Algorithm,Sample Size,Elapsed Time (ms)
HeapSort2,100000,10
HeapSort2,200000,23
HeapSort2,300000,36
HeapSort2,400000,50
HeapSort2,500000,64
HeapSort2,600000,76
HeapSort2,700000,92
HeapSort2,800000,106
HeapSort2,900000,119
HeapSort2,1000000,124
HeapSort2,1100000,122
HeapSort2,1200000,138
HeapSort2,1300000,153
HeapSort2,1400000,166
HeapSort2,1500000,179
HeapSort2,1600000,192
HeapSort2,1700000,205
HeapSort2,1800000,218
HeapSort2,1900000,232
HeapSort2,2000000,245
HeapSort2,2100000,258
HeapSort2,2200000,271
HeapSort2,2300000,286
HeapSort2,2400000,299
HeapSort2,2500000,312
HeapSort2,2600000,327
HeapSort2,2700000,339
HeapSort2,2800000,353
HeapSort2,2900000,367
HeapSort2,3000000,380
HeapSort2,3100000,394
HeapSort2,3200000,408
HeapSort2,3300000,422
HeapSort2,3400000,436
HeapSort2,3500000,449
HeapSort2,3600000,463
HeapSort2,3700000,477
HeapSort2,3800000,492
HeapSort2,3900000,506
HeapSort2,4000000,520
HeapSort2,4100000,534
HeapSort2,4200000,549
HeapSort2,4300000,566
HeapSort2,4400000,582
HeapSort2,4500000,599
HeapSort2,4600000,615
HeapSort2,4700000,631
HeapSort2,4800000,651
HeapSort2,4900000,770
HeapSort2,5000000,791
HeapSort2,5100000,719
HeapSort2,5200000,718
HeapSort2,5300000,737
HeapSort2,5400000,754
HeapSort2,5500000,881
HeapSort2,5600000,902
HeapSort2,5700000,924
HeapSort2,5800000,937
HeapSort2,5900000,964
HeapSort2,6000000,981
HeapSort2,6100000,997
HeapSort2,6200000,1027
HeapSort2,6300000,1048
HeapSort2,6400000,1071
HeapSort2,6500000,1093
HeapSort2,6600000,1112
HeapSort2,6700000,1130
HeapSort2,6800000,1143
HeapSort2,6900000,1176
HeapSort2,7000000,1200
HeapSort2,7100000,1223
HeapSort2,7200000,1244
HeapSort2,7300000,1266
HeapSort2,7400000,1290
HeapSort2,7500000,1312
HeapSort2,7600000,1333
HeapSort2,7700000,1335
HeapSort2,7800000,1369
HeapSort2,7900000,1397
HeapSort2,8000000,1422
HeapSort2,8100000,1445
HeapSort2,8200000,1451
HeapSort2,8300000,1489
HeapSort2,8400000,1497
HeapSort2,8500000,1538
HeapSort2,8600000,1563
HeapSort2,8700000,1586
HeapSort2,8800000,1606
HeapSort2,8900000,1630
HeapSort2,9000000,1655
HeapSort2,9100000,1667
HeapSort2,9200000,1696
HeapSort2,9300000,1725
HeapSort2,9400000,1740
HeapSort2,9500000,1740
HeapSort2,9600000,1776
HeapSort2,9700000,1789
HeapSort2,9800000,1815
HeapSort2,9900000,1860
HeapSort2,10000000,1883
