Algorithm,Sample Size,Elapsed Time (ms)
HeapSort5,100000,35
HeapSort5,200000,64
HeapSort5,300000,100
HeapSort5,400000,138
HeapSort5,500000,177
HeapSort5,600000,218
HeapSort5,700000,263
HeapSort5,800000,302
HeapSort5,900000,358
HeapSort5,1000000,395
HeapSort10,100000,41
HeapSort10,200000,89
HeapSort10,300000,138
HeapSort10,400000,191
HeapSort10,500000,245
HeapSort10,600000,296
HeapSort10,700000,353
HeapSort10,800000,412
HeapSort10,900000,476
HeapSort10,1000000,537
HeapSort25,100000,64
HeapSort25,200000,145
HeapSort25,300000,222
HeapSort25,400000,298
HeapSort25,500000,383
HeapSort25,600000,468
HeapSort25,700000,557
HeapSort25,800000,642
HeapSort25,900000,717
HeapSort25,1000000,819
HeapSort50,100000,101
HeapSort50,200000,208
HeapSort50,300000,329
HeapSort50,400000,464
HeapSort50,500000,622
HeapSort50,600000,744
HeapSort50,700000,889
HeapSort50,800000,274
HeapSort50,900000,114
HeapSort50,1000000,235
HeapSort100,100000,165
